Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,New_Item_Type
878,95,0,11801,7977,3,1,2,2,2131,0,1
234,384,0,1038,6319,7,1,1,1,1812,3,1
1088,324,2,10860,6816,5,1,2,3,1275,8,1
783,324,0,7344,7041,4,2,0,0,634,8,1
1165,295,0,6219,3,1,0,2,1,359,7,1
602,350,0,8745,1992,2,1,1,1,509,1,1
814,334,2,722,3023,3,1,2,2,1317,0,1
1054,324,0,1995,3886,4,2,0,0,525,8,1
635,324,0,8977,5598,4,2,0,0,166,8,1
950,62,0,10214,3507,2,1,1,1,695,1,1
90,288,0,12459,5983,0,1,2,0,688,5,0
311,307,0,10666,482,7,1,1,1,168,3,1
1491,324,1,4971,5922,5,1,2,3,3252,8,2
1521,381,1,1547,3580,8,2,0,1,2219,6,2
1543,324,1,12175,950,4,2,0,0,82,8,2
71,363,0,3626,1308,1,0,2,1,1633,7,0
203,329,0,4284,5531,9,1,0,1,1907,4,1
1266,407,1,5513,4202,1,0,2,1,1430,7,2
939,310,2,8087,7180,8,2,0,1,2905,6,1
845,119,2,9493,7028,1,0,2,1,2402,7,1
418,258,2,8757,2834,9,1,0,1,1343,4,1
1137,368,0,10583,5715,8,2,0,1,2229,6,1
426,330,2,8305,1204,2,1,1,1,1137,1,1
663,322,2,7445,2463,2,1,1,1,1747,1,1
308,180,2,12453,5199,6,2,1,1,1921,2,1
829,322,2,3516,5123,1,0,2,1,2560,7,1
894,109,2,11697,1934,9,1,0,1,1239,4,1
1293,301,1,7519,145,6,2,1,1,712,2,2
174,324,0,5385,7345,4,2,0,0,452,8,1
568,367,0,11617,5250,6,2,1,1,1507,2,1
1260,293,2,4419,3598,8,2,0,1,597,6,1
1408,392,1,9959,5773,2,1,1,1,1216,1,2
1274,377,1,12280,4778,0,1,2,0,139,5,2
113,396,2,8821,7193,9,1,0,1,3296,4,0
974,294,2,5565,216,9,1,0,1,589,4,1
1484,243,1,9842,2922,3,1,2,2,2224,0,2
787,398,0,4977,2762,1,0,2,1,1331,7,1
900,355,0,839,166,2,1,1,1,730,1,1
340,20,2,5053,4813,2,1,1,1,2555,1,1
1041,291,0,10877,5327,7,1,1,1,502,3,1
1300,366,1,692,254,7,1,1,1,600,3,2
932,298,0,4922,289,6,2,1,1,761,2,1
1411,328,1,613,6047,3,1,2,2,1121,0,2
1083,324,2,57,2305,5,1,2,3,1580,8,1
377,284,2,829,6265,7,1,1,1,2786,3,1
487,340,0,2674,1519,7,1,1,1,721,3,1
419,324,0,9651,924,5,1,2,3,2062,8,1
49,302,0,6292,7323,7,1,1,1,2757,3,0
802,324,2,11786,205,4,2,0,0,5,8,1
757,326,0,12279,4617,3,1,2,2,1976,0,1
159,119,0,7823,5742,6,2,1,1,3114,2,1
344,280,2,7546,1739,6,2,1,1,818,2,1
110,203,0,7556,7016,8,2,0,1,1450,6,0
1174,377,0,6024,3048,2,1,1,1,980,1,1
469,358,2,11279,2891,2,1,1,1,2257,1,1
344,324,2,6862,1665,4,2,0,0,248,8,1
1257,393,0,10487,2931,1,0,2,1,1422,7,1
423,164,0,1042,2039,3,1,2,2,1012,0,1
113,396,2,11965,7161,0,1,2,0,442,5,0
1056,280,2,6248,1463,2,1,1,1,1182,1,1
858,313,0,12070,4320,7,1,1,1,1248,3,1
1302,412,1,3074,4101,1,0,2,1,2195,7,2
1498,250,1,11512,2058,2,1,1,1,618,1,2
431,153,2,1743,1893,1,0,2,1,168,7,1
1301,259,1,1151,2600,1,0,2,1,204,7,2
347,387,0,1107,4400,6,2,1,1,1347,2,1
1432,324,1,2338,4027,5,1,2,3,2564,8,2
852,276,2,197,1485,9,1,0,1,387,4,1
407,209,0,936,1614,9,1,0,1,681,4,1
1426,293,1,8472,3336,2,1,1,1,1895,1,2
370,125,0,6846,6608,8,2,0,1,3151,6,1
276,368,2,6577,1260,6,2,1,1,886,2,1
1542,155,1,6283,5310,0,1,2,0,497,5,2
34,237,0,1313,6254,7,1,1,1,1290,3,0
1066,403,2,13435,6185,0,1,2,0,377,5,1
231,252,2,8556,5872,9,1,0,1,3064,4,1
591,324,0,11874,2857,5,1,2,3,2817,8,1
1557,324,1,2296,6005,5,1,2,3,3169,8,2
124,290,0,8170,5425,6,2,1,1,2194,2,0
1030,192,2,9312,84,8,2,0,1,710,6,1
1181,399,0,4908,3065,1,0,2,1,1871,7,1
1176,291,2,13435,731,0,1,2,0,69,5,1
627,314,2,6940,4377,2,1,1,1,2619,1,1
740,291,2,5506,150,9,1,0,1,531,4,1
933,165,0,1647,7516,1,0,2,1,1054,7,1
35,409,0,4095,4347,0,1,2,0,129,5,0
663,322,2,7419,2528,9,1,0,1,742,4,1
319,399,2,1411,5521,3,1,2,2,1999,0,1
270,304,2,316,3412,1,0,2,1,1045,7,1
693,367,0,2728,837,3,1,2,2,823,0,1
304,117,2,9614,2586,2,1,1,1,1634,1,1
497,328,0,4392,5349,7,1,1,1,2060,3,1
1276,324,1,4875,1911,5,1,2,3,2372,8,2
1109,72,2,10163,6605,2,1,1,1,1789,1,1
1365,300,1,5939,4878,8,2,0,1,1441,6,2
1250,324,0,11355,6333,4,2,0,0,863,8,1
217,404,2,2108,7367,8,2,0,1,3195,6,1
1263,406,0,11458,2616,6,2,1,1,845,2,1
656,314,2,834,5389,1,0,2,1,2468,7,1
1105,349,0,5638,3260,1,0,2,1,2451,7,1
203,329,0,4274,5571,1,0,2,1,3271,7,1
863,356,2,10548,6373,3,1,2,2,2916,0,1
1011,324,0,4122,7890,5,1,2,3,3477,8,1
455,312,2,9005,1589,2,1,1,1,1531,1,1
433,341,2,9873,7097,9,1,0,1,2888,4,1
1164,329,0,5277,5658,7,1,1,1,2728,3,1
270,304,2,318,3345,6,2,1,1,1548,2,1
1466,294,1,6619,6386,2,1,1,1,2377,1,2
70,388,0,941,732,2,1,1,1,820,1,0
1476,318,1,12548,6862,9,1,0,1,2379,4,2
871,295,2,12581,3813,8,2,0,1,1816,6,1
237,242,2,8300,6133,1,0,2,1,709,7,1
763,366,2,12131,2455,0,1,2,0,71,5,1
551,275,0,11303,2153,3,1,2,2,1381,0,1
1288,367,1,2898,5487,8,2,0,1,1309,6,2
1235,312,2,13435,7269,0,1,2,0,658,5,1
1435,396,1,874,978,3,1,2,2,1160,0,2
1445,367,1,2838,2626,0,1,2,0,208,5,2
32,315,0,12108,2270,9,1,0,1,930,4,0
781,326,0,3725,5127,1,0,2,1,2142,7,1
1506,272,1,1586,5105,9,1,0,1,2728,4,2
1151,40,0,9466,4950,6,2,1,1,1452,2,1
1297,265,1,737,903,8,2,0,1,823,6,2
1350,352,1,3781,2713,6,2,1,1,1472,2,2
898,185,0,6423,2989,0,1,2,0,86,5,1
708,324,0,11833,6471,5,1,2,3,2882,8,1
913,356,0,10672,3984,9,1,0,1,1191,4,1
501,388,0,10759,3368,9,1,0,1,462,4,1
104,288,0,5060,2,3,1,2,2,352,0,0
417,334,0,4774,54,2,1,1,1,570,1,1
1007,396,2,3390,1767,7,1,1,1,1681,3,1
859,251,0,12008,561,1,0,2,1,539,7,1
381,324,2,4697,7511,4,2,0,0,470,8,1
27,397,0,2300,552,2,1,1,1,615,1,0
862,324,2,12057,5950,5,1,2,3,3076,8,1
1499,314,1,7066,1612,6,2,1,1,1029,2,2
849,114,2,11621,299,2,1,1,1,753,1,1
1397,392,1,7906,269,1,0,2,1,613,7,2
445,408,0,1891,4572,9,1,0,1,2617,4,1
137,295,0,11136,2982,3,1,2,2,430,0,0
811,403,2,4705,4506,2,1,1,1,711,1,1
96,302,0,7275,4353,8,2,0,1,1936,6,0
1360,399,1,880,2394,3,1,2,2,1259,0,2
281,395,0,1225,3307,9,1,0,1,1363,4,1
261,164,0,12875,6419,3,1,2,2,2238,0,1
1540,353,1,7305,3661,7,1,1,1,1792,3,2
1479,324,1,6710,7989,4,2,0,0,260,8,2
326,262,0,2678,6445,7,1,1,1,2455,3,1
1463,389,1,3882,6645,8,2,0,1,2909,6,2
1158,402,0,8546,2812,8,2,0,1,1416,6,1
1384,320,1,5041,103,2,1,1,1,490,1,2
651,370,2,9060,2883,3,1,2,2,1357,0,1
453,384,0,10543,4967,0,1,2,0,145,5,1
908,371,0,6704,6752,9,1,0,1,953,4,1
923,324,2,623,3794,5,1,2,3,2778,8,1
867,340,0,12044,1421,3,1,2,2,1109,0,1
406,377,2,4921,72,8,2,0,1,612,6,1
613,324,2,5580,196,5,1,2,3,806,8,1
97,404,0,4252,6716,3,1,2,2,1833,0,0
1103,381,0,4665,4054,2,1,1,1,1970,1,1
1459,365,1,759,2614,7,1,1,1,922,3,2
208,337,2,3506,844,2,1,1,1,725,1,1
61,47,0,910,4058,8,2,0,1,2208,6,0
436,411,0,9271,6071,0,1,2,0,705,5,1
753,334,2,9116,7964,9,1,0,1,2991,4,1
531,319,2,13298,5232,0,1,2,0,643,5,1
472,320,2,3805,6289,7,1,1,1,2039,3,1
93,314,0,11212,5770,2,1,1,1,1941,1,0
118,398,0,4594,3601,6,2,1,1,686,2,0
760,294,0,3562,736,1,0,2,1,341,7,1
543,324,0,13435,3290,4,2,0,0,451,8,1
706,380,0,12572,2101,1,0,2,1,1311,7,1
1312,408,1,2777,1340,1,0,2,1,914,7,2
910,261,0,22,2337,8,2,0,1,1511,6,1
1067,342,0,7551,4428,6,2,1,1,1356,2,1
1315,272,1,3585,2392,2,1,1,1,956,1,2
30,331,0,1380,1444,3,1,2,2,1248,0,0
865,110,0,5026,2019,8,2,0,1,1829,6,1
594,296,2,2390,5228,1,0,2,1,1618,7,1
794,324,2,2960,5260,5,1,2,3,2494,8,1
1162,372,2,8488,6427,1,0,2,1,2996,7,1
289,339,0,1750,3439,3,1,2,2,1054,0,1
49,302,0,6317,7219,2,1,1,1,3063,1,0
1077,239,0,10351,751,3,1,2,2,820,0,1
361,76,0,609,250,1,0,2,1,493,7,1
1202,376,0,2013,7657,6,2,1,1,2867,2,1
841,408,0,5184,5466,7,1,1,1,921,3,1
1216,270,2,292,2507,8,2,0,1,1935,6,1
464,406,2,3571,1672,0,1,2,0,146,5,1
424,334,0,7753,542,3,1,2,2,437,0,1
1108,328,0,8646,5007,7,1,1,1,1237,3,1
1157,3,2,10571,7106,6,2,1,1,3039,2,1
531,319,2,10855,5219,8,2,0,1,1952,6,1
1347,324,1,9124,177,5,1,2,3,755,8,2
1257,393,0,10489,2917,6,2,1,1,1039,2,1
327,402,2,6561,4364,9,1,0,1,687,4,1
414,311,2,4410,2775,3,1,2,2,1533,0,1
333,284,0,12633,3961,0,1,2,0,283,5,1
314,352,2,10716,5377,3,1,2,2,2162,0,1
861,323,2,8717,6049,7,1,1,1,1985,3,1
784,306,0,436,1679,6,2,1,1,686,2,1
1360,324,1,2424,2479,4,2,0,0,392,8,2
436,324,0,9529,6103,4,2,0,0,373,8,1
1329,393,1,4889,3748,6,2,1,1,2500,2,2
941,399,0,659,5869,7,1,1,1,1116,3,1
21,70,0,8976,2926,7,1,1,1,2146,3,0
848,321,0,1723,6380,6,2,1,1,2790,2,1
600,151,0,10501,6155,7,1,1,1,2144,3,1
953,360,0,6905,832,6,2,1,1,560,2,1
930,292,2,5948,7886,7,1,1,1,3465,3,1
35,409,0,1418,4403,6,2,1,1,1843,2,0
49,302,0,6286,7311,9,1,0,1,2572,4,0
1282,253,1,6124,3641,9,1,0,1,1921,4,2
442,362,2,2410,2242,9,1,0,1,1061,4,1
167,144,0,11002,5222,6,2,1,1,2040,2,1
337,395,2,6077,1425,7,1,1,1,1286,3,1
624,368,2,11353,5952,0,1,2,0,179,5,1
1102,288,2,4021,5051,1,0,2,1,886,7,1
34,237,0,1307,6332,1,0,2,1,2543,7,0
1532,339,1,269,6266,7,1,1,1,2031,3,2
174,29,0,2493,7287,3,1,2,2,452,0,1
788,160,2,877,7385,1,0,2,1,844,7,1
1204,324,2,6517,3670,5,1,2,3,2985,8,1
327,402,2,6543,4330,1,0,2,1,2014,7,1
1186,316,0,3839,5617,8,2,0,1,2847,6,1
919,414,0,378,5786,6,2,1,1,2241,2,1
226,226,2,3284,2268,7,1,1,1,2092,3,1
606,294,0,2855,1395,2,1,1,1,1208,1,1
348,339,0,4495,3435,2,1,1,1,1563,1,1
907,272,0,9018,1471,7,1,1,1,1391,3,1
985,318,0,1964,4854,3,1,2,2,1768,0,1
998,324,0,9233,6116,5,1,2,3,3417,8,1
1023,324,0,4169,4186,4,2,0,0,555,8,1
835,401,2,2962,519,9,1,0,1,430,4,1
1175,113,2,3153,1267,8,2,0,1,766,6,1
417,324,0,4721,3,5,1,2,3,857,8,1
1132,162,0,5169,6989,2,1,1,1,1598,1,1
1236,205,0,1294,706,1,0,2,1,126,7,1
435,322,0,6789,755,2,1,1,1,447,1,1
410,377,0,6784,401,9,1,0,1,287,4,1
1269,391,1,11985,5991,9,1,0,1,3036,4,2
1386,171,1,4248,5326,2,1,1,1,2182,1,2
30,331,0,1247,1447,8,2,0,1,859,6,0
1484,243,1,9817,2935,8,2,0,1,435,6,2
1183,324,0,13435,6243,4,2,0,0,550,8,1
233,298,2,2055,3854,0,1,2,0,277,5,1
456,272,0,9226,6587,8,2,0,1,1521,6,1
41,2,0,11660,5201,9,1,0,1,1284,4,0
320,304,2,6529,4103,0,1,2,0,416,5,1
1174,377,0,5997,2928,9,1,0,1,1383,4,1
901,313,0,4836,5904,9,1,0,1,1101,4,1
1397,392,1,7921,367,9,1,0,1,713,4,2
1206,373,2,596,4943,7,1,1,1,1444,3,1
654,366,0,8486,6422,7,1,1,1,1619,3,1
759,357,0,12501,3632,7,1,1,1,1695,3,1
1315,272,1,3556,2333,6,2,1,1,1511,2,2
512,349,0,7014,456,1,0,2,1,589,7,1
706,324,0,12554,2107,5,1,2,3,1746,8,1
435,324,0,6731,797,5,1,2,3,1030,8,1
1144,75,0,8324,3225,9,1,0,1,1027,4,1
1066,403,2,11379,6308,9,1,0,1,2357,4,1
336,408,0,5941,229,1,0,2,1,222,7,1
1346,404,1,7104,7438,3,1,2,2,2902,0,2
898,185,0,3547,3158,1,0,2,1,641,7,1
274,324,2,10176,6157,4,2,0,0,544,8,1
8,57,2,1536,662,2,1,1,1,1220,1,0
22,389,0,2237,2313,2,1,1,1,640,1,0
476,286,2,10533,1861,7,1,1,1,647,3,1
800,331,0,9883,4244,6,2,1,1,2844,2,1
796,324,2,8841,2417,4,2,0,0,199,8,1
1275,393,1,11992,6251,0,1,2,0,550,5,2
240,391,2,10656,6924,1,0,2,1,2266,7,1
289,339,0,1729,3463,8,2,0,1,1881,6,1
887,410,2,7359,1851,6,2,1,1,985,2,1
452,245,0,3475,5812,2,1,1,1,2606,1,1
1534,368,1,2744,7532,3,1,2,2,3315,0,2
617,202,2,10133,2554,8,2,0,1,1466,6,1
204,190,0,6253,1460,1,0,2,1,820,7,1
1369,37,1,11820,3340,2,1,1,1,2285,1,2
876,139,2,6716,6888,9,1,0,1,1992,4,1
1515,341,1,3013,2764,0,1,2,0,215,5,2
121,241,0,2831,4345,9,1,0,1,1850,4,0
1024,184,2,7888,454,2,1,1,1,557,1,1
1023,317,0,1713,4256,3,1,2,2,1719,0,1
804,347,0,9131,6097,8,2,0,1,3043,6,1
35,409,0,1860,4436,3,1,2,2,1149,0,0
855,302,0,3078,7271,7,1,1,1,3462,3,1
92,385,0,8103,5996,0,1,2,0,364,5,0
795,332,2,7988,1037,3,1,2,2,653,0,1
1265,406,1,12524,64,2,1,1,1,920,1,2
936,320,2,13403,1481,3,1,2,2,872,0,1
57,262,0,10799,241,7,1,1,1,568,3,0
821,368,0,2000,2843,7,1,1,1,2462,3,1
59,363,0,1542,4542,6,2,1,1,1590,2,0
510,152,0,899,3172,3,1,2,2,1477,0,1
755,107,0,9621,3575,9,1,0,1,1504,4,1
1065,331,0,5869,6731,8,2,0,1,3170,6,1
774,375,0,6737,2343,6,2,1,1,566,2,1
336,324,0,5923,268,5,1,2,3,888,8,1
557,30,2,3606,5865,2,1,1,1,2266,1,1
1090,384,0,9692,6309,6,2,1,1,2024,2,1
770,219,0,5664,611,9,1,0,1,594,4,1
937,171,0,6178,3373,8,2,0,1,1539,6,1
783,323,0,4071,7056,6,2,1,1,1617,2,1
867,340,0,12023,1436,6,2,1,1,227,2,1
1223,380,0,8530,3629,0,1,2,0,247,5,1
625,91,0,10825,3729,0,1,2,0,107,5,1
372,122,2,5688,4429,7,1,1,1,1675,3,1
654,324,0,8442,6406,5,1,2,3,3107,8,1
1346,404,1,7083,7454,1,0,2,1,1388,7,2
1359,393,1,13339,7393,9,1,0,1,2491,4,2
1465,378,1,1799,4984,0,1,2,0,150,5,2
191,290,2,3112,5330,7,1,1,1,2174,3,1
236,324,0,8001,7847,5,1,2,3,2711,8,1
153,192,0,5227,2166,7,1,1,1,972,3,1
81,324,0,12228,4698,5,1,2,3,2114,8,0
319,399,2,1405,5534,9,1,0,1,1999,4,1
1098,23,2,13435,917,0,1,2,0,24,5,1
421,324,2,6931,3050,4,2,0,0,83,8,1
1352,324,1,5579,4374,5,1,2,3,1756,8,2
967,324,2,1802,5770,4,2,0,0,522,8,1
1175,113,2,3189,1281,2,1,1,1,961,1,1
1166,341,0,9091,1507,1,0,2,1,661,7,1
1413,352,1,381,613,9,1,0,1,416,4,2
921,50,2,8590,7774,9,1,0,1,1606,4,1
482,36,2,6847,1149,3,1,2,2,1032,0,1
495,386,2,7367,4185,8,2,0,1,1612,6,1
323,324,2,9757,3792,5,1,2,3,2512,8,1
797,337,2,7198,4433,8,2,0,1,2222,6,1
1191,181,0,13435,4916,0,1,2,0,737,5,1
1363,324,1,12185,1124,4,2,0,0,30,8,2
437,289,0,9459,2664,7,1,1,1,1079,3,1
522,378,2,11644,2524,2,1,1,1,1254,1,1
116,358,0,2224,428,0,1,2,0,106,5,0
1543,334,1,8858,899,2,1,1,1,1099,1,2
249,343,2,5215,2803,2,1,1,1,1465,1,1
637,357,0,9658,6759,2,1,1,1,3023,1,1
97,404,0,4225,6697,1,0,2,1,940,7,0
206,212,0,13402,4357,0,1,2,0,299,5,1
255,385,0,10396,2090,1,0,2,1,1095,7,1
278,367,0,5108,3200,8,2,0,1,1948,6,1
598,293,2,7454,6999,6,2,1,1,2416,2,1
604,362,2,7486,5516,9,1,0,1,1790,4,1
1047,327,2,12345,6253,0,1,2,0,192,5,1
166,362,2,5874,3568,2,1,1,1,1411,1,1
582,391,0,11100,2592,9,1,0,1,1502,4,1
827,377,0,392,4853,6,2,1,1,2221,2,1
175,82,0,709,245,2,1,1,1,919,1,1
832,284,2,3764,4408,6,2,1,1,2894,2,1
805,306,2,4212,5318,2,1,1,1,2358,1,1
55,324,0,9531,4326,5,1,2,3,1850,8,0
996,71,0,5629,2327,1,0,2,1,1158,7,1
386,410,0,10316,6860,8,2,0,1,797,6,1
438,372,2,5697,3890,8,2,0,1,1176,6,1
721,329,2,4490,1773,3,1,2,2,573,0,1
579,366,2,10079,2169,6,2,1,1,925,2,1
901,313,0,4846,5805,2,1,1,1,2687,1,1
679,329,0,2084,4720,9,1,0,1,2935,4,1
895,395,2,8782,2981,9,1,0,1,975,4,1
982,395,2,1903,3374,7,1,1,1,2042,3,1
763,366,2,9029,2418,1,0,2,1,1530,7,1
236,415,0,8015,7828,6,2,1,1,3055,2,1
962,361,2,11293,995,6,2,1,1,158,2,1
1265,406,1,12489,68,1,0,2,1,38,7,2
319,399,2,1397,5558,1,0,2,1,2397,7,1
1530,377,1,1109,5506,2,1,1,1,2569,1,2
1157,3,2,10601,7171,2,1,1,1,2632,1,1
129,54,0,6,4461,3,1,2,2,1162,0,0
526,314,2,10071,3545,9,1,0,1,1057,4,1
774,375,0,5048,2441,1,0,2,1,1446,7,1
472,320,2,3798,6289,8,2,0,1,3040,6,1
1021,324,0,3451,2849,5,1,2,3,2287,8,1
456,272,0,9236,6611,7,1,1,1,1385,3,1
1279,77,1,11437,7982,9,1,0,1,2398,4,2
1094,289,0,4317,7433,6,2,1,1,2787,2,1
1153,369,0,10804,4553,2,1,1,1,711,1,1
438,372,2,5707,3884,9,1,0,1,1361,4,1
372,122,2,8888,4481,0,1,2,0,132,5,1
986,119,2,12395,2013,2,1,1,1,2687,1,1
1125,361,2,10891,5621,3,1,2,2,2415,0,1
378,349,0,12761,2612,6,2,1,1,1006,2,1
1291,163,1,10013,7605,3,1,2,2,872,0,2
410,377,0,6773,391,8,2,0,1,399,6,1
902,323,2,12795,7304,8,2,0,1,2586,6,1
1223,380,0,5362,3589,8,2,0,1,1589,6,1
271,307,2,209,4293,1,0,2,1,1535,7,1
116,358,0,3385,405,6,2,1,1,998,2,0
1451,344,1,341,957,0,1,2,0,25,5,2
1048,324,0,10552,900,5,1,2,3,1586,8,1
607,384,0,642,4729,7,1,1,1,2214,3,1
1252,408,2,8014,2299,2,1,1,1,1489,1,1
953,360,0,6907,832,8,2,0,1,1148,6,1
667,101,2,8626,4083,9,1,0,1,2278,4,1
1447,379,1,3356,5442,7,1,1,1,1786,3,2
93,324,0,13435,5775,4,2,0,0,356,8,0
146,324,2,3158,3985,5,1,2,3,2550,8,1
451,324,0,13435,489,4,2,0,0,161,8,1
390,368,2,11508,5590,2,1,1,1,2216,1,1
1412,303,1,3038,3037,8,2,0,1,1649,6,2
291,293,0,10473,2974,9,1,0,1,2304,4,1
979,334,2,5372,197,0,1,2,0,37,5,1
221,391,2,12974,572,0,1,2,0,180,5,1
1242,289,2,2022,2468,2,1,1,1,1935,1,1
966,316,0,8677,3460,2,1,1,1,1225,1,1
350,58,2,10228,445,6,2,1,1,304,2,1
1454,327,1,5002,7702,6,2,1,1,2956,2,2
891,218,2,9305,1034,2,1,1,1,155,1,1
450,325,0,8718,2208,7,1,1,1,1456,3,1
1097,393,0,11721,1921,7,1,1,1,1628,3,1
1192,342,2,10284,4692,8,2,0,1,2004,6,1
367,18,0,5178,6282,2,1,1,1,2539,1,1
426,330,2,8267,1121,1,0,2,1,1300,7,1
1276,397,1,4894,1883,1,0,2,1,1658,7,2
978,379,0,3970,7525,6,2,1,1,868,2,1
984,320,0,10039,3217,9,1,0,1,2513,4,1
1515,341,1,1274,2788,1,0,2,1,1642,7,2
1209,85,0,159,1204,7,1,1,1,1040,3,1
61,324,0,900,4001,5,1,2,3,2208,8,0
967,324,2,587,5751,5,1,2,3,2816,8,1
1449,346,1,3685,7274,1,0,2,1,2754,7,2
247,318,0,1068,6547,9,1,0,1,586,4,1
1554,102,1,2626,3338,1,0,2,1,563,7,2
544,322,2,8482,7739,8,2,0,1,2058,6,1
321,324,0,9530,4268,4,2,0,0,424,8,1
1391,324,1,4737,1674,5,1,2,3,1792,8,2
1194,324,2,1141,610,5,1,2,3,1550,8,1
891,324,2,9225,1056,5,1,2,3,1155,8,1
503,159,0,10026,2039,1,0,2,1,1577,7,1
838,324,0,12490,5350,4,2,0,0,339,8,1
374,350,2,1619,3728,9,1,0,1,805,4,1
181,324,2,11312,4877,5,1,2,3,3254,8,1
475,240,2,8910,5224,1,0,2,1,1158,7,1
265,324,0,13435,5108,4,2,0,0,154,8,1
165,405,2,3445,7788,2,1,1,1,1603,1,1
1473,380,1,1412,2222,3,1,2,2,1125,0,2
826,384,0,8886,7826,3,1,2,2,2088,0,1
1274,377,1,9244,4730,1,0,2,1,1079,7,2
352,304,0,2778,2635,8,2,0,1,1229,6,1
32,315,0,13435,2336,0,1,2,0,189,5,0
1265,324,1,12465,111,5,1,2,3,547,8,2
614,338,0,11811,1873,3,1,2,2,971,0,1
923,351,2,631,3762,6,2,1,1,1013,2,1
65,374,0,7062,1993,0,1,2,0,59,5,0
1464,377,1,1498,7230,3,1,2,2,2079,0,2
1492,343,1,7119,5527,8,2,0,1,2495,6,2
606,294,0,2821,1410,6,2,1,1,1410,2,1
537,298,0,8250,3221,6,2,1,1,1119,2,1
1452,322,1,162,5846,6,2,1,1,2625,2,2
1352,388,1,5608,4438,8,2,0,1,2439,6,2
950,62,0,10202,3593,3,1,2,2,2464,0,1
182,317,0,11257,6793,8,2,0,1,3034,6,1
1047,327,2,9363,6244,9,1,0,1,1930,4,1
1121,393,2,2113,5606,7,1,1,1,1925,3,1
61,47,0,918,4108,7,1,1,1,1696,3,0
383,148,2,7143,3741,6,2,1,1,1792,2,1
887,410,2,7360,1851,8,2,0,1,1359,6,1
1463,389,1,3888,6652,9,1,0,1,2751,4,2
937,171,0,6175,3431,1,0,2,1,2275,7,1
692,297,2,4306,7054,7,1,1,1,2869,3,1
538,325,2,2181,6846,8,2,0,1,1436,6,1
639,313,2,7060,5118,1,0,2,1,488,7,1
630,403,0,7629,7812,2,1,1,1,3171,1,1
578,309,2,4607,2489,6,2,1,1,1658,2,1
293,251,2,11533,5833,0,1,2,0,522,5,1
1113,227,2,11307,5415,7,1,1,1,1530,3,1
942,391,2,10995,5934,0,1,2,0,179,5,1
937,171,0,6184,3346,7,1,1,1,353,3,1
1277,98,1,9823,1698,8,2,0,1,561,6,2
281,324,0,3095,3364,4,2,0,0,348,8,1
1312,324,1,2751,1430,5,1,2,3,1782,8,2
718,135,2,12272,5665,9,1,0,1,2667,4,1
1510,308,1,7852,6088,7,1,1,1,1143,3,2
4,68,2,577,5941,0,1,2,0,830,5,0
1159,288,2,4302,6169,0,1,2,0,712,5,1
260,358,0,11652,3804,7,1,1,1,1017,3,1
280,361,0,9798,3967,8,2,0,1,1373,6,1
239,328,2,10415,6367,3,1,2,2,2259,0,1
101,324,0,1453,239,5,1,2,3,905,8,0
593,370,0,4268,1958,2,1,1,1,589,1,1
67,324,0,5003,2687,4,2,0,0,206,8,0
1034,348,2,1224,4610,0,1,2,0,305,5,1
735,383,0,9806,6302,7,1,1,1,2252,3,1
558,305,0,284,3219,9,1,0,1,1371,4,1
754,412,2,12965,1246,2,1,1,1,593,1,1
1350,352,1,6769,2838,0,1,2,0,77,5,2
107,324,0,8279,187,5,1,2,3,724,8,0
1424,274,1,339,6583,9,1,0,1,2905,4,2
672,311,0,8380,6042,1,0,2,1,2196,7,1
1421,307,1,8432,1282,6,2,1,1,1807,2,2
795,332,2,7979,981,7,1,1,1,701,3,1
778,350,2,9583,6803,8,2,0,1,616,6,1
226,226,2,3279,2277,9,1,0,1,1684,4,1
1201,339,2,2317,6260,9,1,0,1,2031,4,1
1350,324,1,3766,2677,5,1,2,3,2206,8,2
1052,232,2,4746,5988,8,2,0,1,1501,6,1
499,315,2,6730,818,9,1,0,1,483,4,1
1375,397,1,5847,378,6,2,1,1,565,2,2
942,391,2,7731,5970,9,1,0,1,2073,4,1
623,384,0,8698,6575,9,1,0,1,2587,4,1
884,400,2,1775,1213,9,1,0,1,524,4,1
285,326,0,3377,7616,7,1,1,1,2454,3,1
582,324,0,11063,2650,5,1,2,3,2156,8,1
730,397,0,4734,4860,3,1,2,2,2154,0,1
779,358,2,1506,1104,2,1,1,1,462,1,1
940,330,0,7505,4331,8,2,0,1,2490,6,1
934,297,0,11128,1047,3,1,2,2,1157,0,1
233,298,2,764,3992,6,2,1,1,2239,2,1
680,395,0,11406,6884,8,2,0,1,1582,6,1
1250,338,0,7853,6370,1,0,2,1,2926,7,1
528,243,2,4796,5929,8,2,0,1,3426,6,1
1490,372,1,4613,4973,7,1,1,1,1120,3,2
983,324,2,8728,15,5,1,2,3,654,8,1
1444,406,1,3681,238,9,1,0,1,855,4,2
842,350,2,10206,3806,9,1,0,1,1656,4,1
1099,111,2,3030,5396,2,1,1,1,2738,1,1
144,324,0,8022,3314,5,1,2,3,1822,8,0
553,203,0,380,7590,1,0,2,1,3192,7,1
509,381,0,11727,3188,8,2,0,1,1100,6,1
1225,197,2,12768,733,2,1,1,1,559,1,1
